Source,Target,Type,gaza-ontology#containsEntity,22-rdf-syntax-ns#type,rdf-schema#domain,rdf-schema#range,rdf-schema#subClassOf
http://example.com/gaza-ontology#NewsArticle_4648,http://example.com/gaza-ontology#حماس,gaza-ontology#containsEntity,http://example.com/gaza-ontology#containsEntity,,,,
http://example.com/gaza-ontology#NewsArticle_1486,http://example.com/gaza-ontology#جاناتوال,gaza-ontology#containsEntity,http://example.com/gaza-ontology#containsEntity,,,,
http://example.com/gaza-ontology#NewsArticle_1255,http://example.com/gaza-ontology#نابلس,gaza-ontology#containsEntity,http://example.com/gaza-ontology#containsEntity,,,,
http://example.com/gaza-ontology#NewsArticle_4006,http://example.com/gaza-ontology#مصر,gaza-ontology#containsEntity,http://example.com/gaza-ontology#containsEntity,,,,
http://example.com/gaza-ontology#NewsArticle_1769,http://example.com/gaza-ontology#منظمة,gaza-ontology#containsEntity,http://example.com/gaza-ontology#containsEntity,,,,
http://example.com/gaza-ontology#NewsArticle_578,http://example.com/gaza-ontology#نزيم,gaza-ontology#containsEntity,http://example.com/gaza-ontology#containsEntity,,,,
http://example.com/gaza-ontology#NewsArticle_4453,http://example.com/gaza-ontology#NewsArticle,22-rdf-syntax-ns#type,,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,,
http://example.com/gaza-ontology#NewsArticle_21,http://example.com/gaza-ontology#NewsArticle,22-rdf-syntax-ns#type,,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,,
http://example.com/gaza-ontology#NewsArticle_559,http://example.com/gaza-ontology#NewsArticle,22-rdf-syntax-ns#type,,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,,
http://example.com/gaza-ontology#NewsArticle_2200,http://example.com/gaza-ontology#منظمة,gaza-ontology#containsEntity,http://example.com/gaza-ontology#containsEntity,,,,
http://example.com/gaza-ontology#NewsArticle_4974,http://example.com/gaza-ontology#غزة,gaza-ontology#containsEntity,http://example.com/gaza-ontology#containsEntity,,,,
